tag,quantization,compile_mode,n_sink,window_size,streaming_mode,ppl_baseline,ppl_streaming,ppl_increase_percent,runtime_baseline_sec,runtime_streaming_sec,runtime_speedup,peak_mem_baseline_mb,peak_mem_streaming_mb,latency_baseline_ms,latency_streaming_ms,latency_speedup,latency_mem_baseline_mb,latency_mem_streaming_mb
q-none_compile-off,none,off,False,4,2048,ours,9.370269775390625,9.657918930053711,3.0698065430148676,212.63478125,30.81524609375,6.900310989018093,5722.9853515625,6613.84765625,13.864032781450078,13.854211603679385,1.0007088947427427,6117.2041015625,6613.144205729167
q-none_compile-reduce-overhead,none,reduce-overhead,False,4,2048,ours,9.370269775390625,9.657918930053711,3.0698065430148676,212.876796875,31.154609375,6.832914972954945,5722.9853515625,6613.84765625,13.618496801083287,13.63722869901297,0.9986264146225663,6117.2041015625,6613.145833333333
q-int8wo_compile-off,int8wo,off,False,4,2048,ours,nan,nan,nan,251.062203125,51.318203125,4.8922641058469445,3377.0166015625,4307.8154296875,23.037936870086316,22.92722675126667,1.0048287618917333,3822.3974609375,4307.18359375
q-int8wo_compile-reduce-overhead,int8wo,reduce-overhead,False,4,2048,ours,nan,nan,nan,251.382171875,50.1025,5.017357853899506,3377.0166015625,4307.8154296875,22.78069251216948,22.660951849461224,1.0052840085228416,3822.3909505208335,4307.1298828125
q-int8da_compile-off,int8da,off,False,4,2048,ours,10.0928373336792,10.428662300109863,3.3273593473069867,858.0908125,274.34653125,3.127762573087025,3414.1689453125,4377.2548828125,130.74483030545525,132.81721550171886,0.9843967125162567,3879.365234375,4377.3408203125
q-int8da_compile-reduce-overhead,int8da,reduce-overhead,False,4,2048,ours,10.0928373336792,10.428662300109863,3.3273593473069867,854.4966875,272.000375,3.14152760818804,3414.1689453125,4377.2548828125,134.71118277295804,134.30703224862614,1.0030091538586285,3879.365234375,4377.3408203125
